"Date"	"Date"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"	"Room Revenue OTB"
"Day"	"DOW"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"	"Room Revenue OTB"
"2023-01-26"	"Th"	"Welcome Hotel Paderborn"	94	"61.44%"	153	94	89.22	8386.31
"2023-01-26"	"Th"	"Welcome Hotel Bad Arolsen"	34	"28.57%"	119	34	83.18	2828.27
"2023-01-26"	"Th"	"Welcome Hotel Meschede / Hennesee"	104	"89.66%"	116	104	84.07	8743.10
"2023-01-26"	"Th"	"Welcome Hotel Wesel"	64	"62.14%"	103	64	60.97	3901.89
"2023-01-26"	"Th"	"Welcome Hotel Dorf Munsterland"	42	"32.06%"	131	42	70.67	2968.34
"2023-01-26"	"Th"	"Welcome Hotel Neckarsulm"	30	"18.52%"	162	30	139.15	4174.45
"2023-01-26"	"Th"	"Welcome Parkhotel Euskirchen"	46	"50.00%"	92	46	107.30	4935.93
"2023-01-26"	"Th"	"All"	839	"47.62%"	1762	839	100.29	84146.13
"2023-01-27"	"Fr"	"Welcome Hotel Darmstadt"	113	"54.33%"	208	113	110.78	12518.35
"2023-01-27"	"Fr"	"Best Western Plus Welcome Hotel Frankfurt"	22	"12.72%"	173	22	79.37	1746.11
"2023-01-27"	"Fr"	"Welcome Residenzschloss Bamberg"	110	"59.78%"	184	110	133.78	14716.25
"2023-01-27"	"Fr"	"Welcome Kongresshotel Bamberg"	151	"88.30%"	171	151	115.17	17390.15
"2023-01-27"	"Fr"	"Welcome Hotel Marburg"	13	"8.67%"	150	13	132.34	1720.36
"2023-01-27"	"Fr"	"Welcome Hotel Paderborn"	49	"32.03%"	153	49	81.25	3981.05
"2023-01-27"	"Fr"	"Welcome Hotel Bad Arolsen"	15	"12.61%"	119	15	104.73	1570.99
"2023-01-27"	"Fr"	"Welcome Hotel Meschede / Hennesee"	36	"31.03%"	116	36	92.51	3330.31
"2023-01-27"	"Fr"	"Welcome Hotel Wesel"	11	"10.68%"	103	11	106.56	1172.12
"2023-01-27"	"Fr"	"Welcome Hotel Dorf Munsterland"	48	"36.64%"	131	48	96.14	4614.65
"2023-01-27"	"Fr"	"Welcome Hotel Neckarsulm"	18	"11.11%"	162	18	97.89	1762.07
"2023-01-27"	"Fr"	"Welcome Parkhotel Euskirchen"	51	"55.43%"	92	51	126.98	6475.86
"2023-01-27"	"Fr"	"All"	637	"36.15%"	1762	637	111.46	70998.27
"2023-01-28"	"Sa"	"Welcome Hotel Darmstadt"	55	"26.44%"	208	55	100.83	5545.81
"2023-01-28"	"Sa"	"Best Western Plus Welcome Hotel Frankfurt"	26	"15.03%"	173	26	76.86	1998.45
"2023-01-28"	"Sa"	"Welcome Residenzschloss Bamberg"	77	"41.85%"	184	77	125.29	9647.35
"2023-01-28"	"Sa"	"Welcome Kongresshotel Bamberg"	64	"37.43%"	171	64	112.29	7186.78
"2023-01-28"	"Sa"	"Welcome Hotel Marburg"	28	"18.67%"	150	28	139.75	3913.06
"2023-01-28"	"Sa"	"Welcome Hotel Paderborn"	21	"13.73%"	153	21	81.51	1711.71
"2023-01-28"	"Sa"	"Welcome Hotel Bad Arolsen"	116	"97.48%"	119	116	106.90	12400.77
"2023-01-28"	"Sa"	"Welcome Hotel Meschede / Hennesee"	60	"51.72%"	116	60	105.39	6323.48
"2023-01-28"	"Sa"	"Welcome Hotel Wesel"	21	"20.39%"	103	21	113.30	2379.23
"2023-01-28"	"Sa"	"Welcome Hotel Dorf Munsterland"	61	"46.56%"	131	61	122.00	7442.22
"2023-01-28"	"Sa"	"Welcome Hotel Neckarsulm"	15	"9.26%"	162	15	103.45	1551.72
"2023-01-28"	"Sa"	"Welcome Parkhotel Euskirchen"	68	"73.91%"	92	68	135.15	9190.50
"2023-01-28"	"Sa"	"All"	612	"34.73%"	1762	612	113.22	69291.08
"2023-01-29"	"Su"	"Welcome Hotel Darmstadt"	58	"27.88%"	208	58	97.56	5658.57
"2023-01-29"	"Su"	"Best Western Plus Welcome Hotel Frankfurt"	16	"9.25%"	173	16	74.08	1185.23
"2023-01-29"	"Su"	"Welcome Residenzschloss Bamberg"	17	"9.24%"	184	17	94.32	1603.36
"2023-01-29"	"Su"	"Welcome Kongresshotel Bamberg"	72	"42.11%"	171	72	82.07	5909.27
"2023-01-29"	"Su"	"Welcome Hotel Marburg"	23	"15.33%"	150	23	104.73	2408.76
"2023-01-29"	"Su"	"Welcome Hotel Paderborn"	24	"15.69%"	153	24	89.97	2159.37
"2023-01-29"	"Su"	"Welcome Hotel Bad Arolsen"	9	"7.56%"	119	9	121.60	1094.42
"2023-01-29"	"Su"	"Welcome Hotel Meschede / Hennesee"	28	"24.14%"	116	28	80.56	2255.58
"2023-01-29"	"Su"	"Welcome Hotel Wesel"	12	"11.65%"	103	12	105.94	1271.27
"2023-01-29"	"Su"	"Welcome Hotel Dorf Munsterland"	8	"6.11%"	131	8	129.94	1039.56
"2023-01-29"	"Su"	"Welcome Hotel Neckarsulm"	19	"11.73%"	162	19	109.33	2077.20
"2023-01-29"	"Su"	"Welcome Parkhotel Euskirchen"	33	"35.87%"	92	33	112.91	3725.96
"2023-01-29"	"Su"	"All"	319	"18.10%"	1762	319	95.26	30388.55
"2023-01-30"	"Mo"	"Welcome Hotel Darmstadt"	118	"56.73%"	208	118	110.60	13050.31
"2023-01-30"	"Mo"	"Best Western Plus Welcome Hotel Frankfurt"	49	"28.32%"	173	49	94.48	4629.64
"2023-01-30"	"Mo"	"Welcome Residenzschloss Bamberg"	26	"14.13%"	184	26	105.64	2746.75
"2023-01-30"	"Mo"	"Welcome Kongresshotel Bamberg"	60	"35.09%"	171	60	94.67	5680.47
"2023-01-30"	"Mo"	"Welcome Hotel Marburg"	51	"34.00%"	150	51	104.99	5354.49
"2023-01-30"	"Mo"	"Welcome Hotel Paderborn"	91	"59.48%"	153	91	86.76	7894.97
"2023-01-30"	"Mo"	"Welcome Hotel Bad Arolsen"	27	"22.69%"	119	27	79.73	2152.59
"2023-01-30"	"Mo"	"Welcome Hotel Meschede / Hennesee"	34	"29.31%"	116	34	82.06	2790.16
"2023-01-30"	"Mo"	"Welcome Hotel Wesel"	34	"33.01%"	103	34	98.86	3361.22
"2023-01-30"	"Mo"	"Welcome Hotel Dorf Munsterland"	38	"29.01%"	131	38	72.33	2748.49
"2023-01-30"	"Mo"	"Welcome Hotel Neckarsulm"	57	"35.19%"	162	57	122.93	7007.29
"2023-01-30"	"Mo"	"Welcome Parkhotel Euskirchen"	57	"61.96%"	92	57	108.28	6172.19
"2023-01-30"	"Mo"	"All"	642	"36.44%"	1762	642	99.05	63588.57
"2023-01-31"	"Tu"	"Welcome Hotel Darmstadt"	137	"65.87%"	208	137	115.95	15885.25
"2023-01-31"	"Tu"	"Best Western Plus Welcome Hotel Frankfurt"	87	"50.29%"	173	87	94.11	8187.71
"2023-01-31"	"Tu"	"Welcome Residenzschloss Bamberg"	101	"54.89%"	184	101	122.96	12418.50
"2023-01-31"	"Tu"	"Welcome Kongresshotel Bamberg"	84	"49.12%"	171	84	95.97	8061.58
"2023-01-31"	"Tu"	"Welcome Hotel Marburg"	57	"38.00%"	150	57	106.59	6075.83
"2023-01-31"	"Tu"	"Welcome Hotel Paderborn"	79	"51.63%"	153	79	96.42	7616.93
"2023-01-31"	"Tu"	"Welcome Hotel Bad Arolsen"	62	"52.10%"	119	62	83.82	5196.72
"2023-01-31"	"Tu"	"Welcome Hotel Meschede / Hennesee"	37	"31.90%"	116	37	88.63	3279.13
"2023-01-31"	"Tu"	"Welcome Hotel Wesel"	75	"72.82%"	103	75	102.43	7682.36
"2023-01-31"	"Tu"	"Welcome Hotel Dorf Munsterland"	37	"28.24%"	131	37	62.17	2300.36
"2023-01-31"	"Tu"	"Welcome Hotel Neckarsulm"	128	"79.01%"	162	128	125.79	16101.39
"2023-01-31"	"Tu"	"Welcome Parkhotel Euskirchen"	59	"64.13%"	92	59	109.75	6475.08
"2023-01-31"	"Tu"	"All"	943	"53.52%"	1762	943	105.28	99280.84
"2023-02-01"	"We"	"Welcome Hotel Darmstadt"	159	"76.44%"	208	159	117.34	18656.64
"2023-02-01"	"We"	"Best Western Plus Welcome Hotel Frankfurt"	109	"63.01%"	173	109	99.29	10822.31
"2023-02-01"	"We"	"Welcome Residenzschloss Bamberg"	131	"71.20%"	184	131	130.88	17144.93
"2023-02-01"	"We"	"Welcome Kongresshotel Bamberg"	147	"85.96%"	171	147	113.87	16738.79
"2023-02-01"	"We"	"Welcome Hotel Marburg"	52	"34.67%"	150	52	101.55	5280.77
"2023-02-01"	"We"	"Welcome Hotel Paderborn"	65	"42.48%"	153	65	95.44	6203.32
"2023-02-01"	"We"	"Welcome Hotel Bad Arolsen"	27	"22.69%"	119	27	80.90	2184.29
"2023-02-01"	"We"	"Welcome Hotel Meschede / Hennesee"	38	"32.76%"	116	38	85.34	3242.98
"2023-02-01"	"We"	"Welcome Hotel Wesel"	32	"31.07%"	103	32	116.89	3740.57
"2023-02-01"	"We"	"Welcome Hotel Dorf Munsterland"	80	"61.07%"	131	80	65.19	5215.52
"2023-02-01"	"We"	"Welcome Hotel Neckarsulm"	116	"71.60%"	162	116	120.59	13988.35
"2023-02-01"	"We"	"Welcome Parkhotel Euskirchen"	52	"56.52%"	92	52	103.89	5402.37
"2023-02-01"	"We"	"All"	1008	"57.21%"	1762	1008	107.76	108620.84
"2023-02-02"	"Th"	"Welcome Hotel Darmstadt"	124	"59.62%"	208	124	115.67	14343.24
"2023-02-02"	"Th"	"Best Western Plus Welcome Hotel Frankfurt"	155	"89.60%"	173	155	220.27	34141.68
"2023-02-02"	"Th"	"Welcome Residenzschloss Bamberg"	71	"38.59%"	184	71	107.59	7638.80
"2023-02-02"	"Th"	"Welcome Kongresshotel Bamberg"	118	"69.01%"	171	118	113.05	13339.82
"2023-02-02"	"Th"	"Welcome Hotel Marburg"	60	"40.00%"	150	60	74.36	4461.75
"2023-02-02"	"Th"	"Welcome Hotel Paderborn"	59	"38.56%"	153	59	83.08	4901.55
"2023-02-02"	"Th"	"Welcome Hotel Bad Arolsen"	32	"26.89%"	119	32	78.69	2518.13
"2023-02-02"	"Th"	"Welcome Hotel Meschede / Hennesee"	38	"32.76%"	116	38	83.57	3175.50
"2023-02-02"	"Th"	"Welcome Hotel Wesel"	32	"31.07%"	103	32	120.72	3863.02
"2023-02-02"	"Th"	"Welcome Hotel Dorf Munsterland"	124	"94.66%"	131	124	70.00	8680.29
"2023-02-02"	"Th"	"Welcome Hotel Neckarsulm"	66	"40.74%"	162	66	123.19	8130.38
"2023-02-02"	"Th"	"Welcome Parkhotel Euskirchen"	54	"58.70%"	92	54	109.36	5905.17
"2023-02-02"	"Th"	"All"	933	"52.95%"	1762	933	119.08	111099.33
"2023-02-03"	"Fr"	"Welcome Hotel Darmstadt"	90	"43.27%"	208	90	103.05	9274.20
"2023-02-03"	"Fr"	"Best Western Plus Welcome Hotel Frankfurt"	173	"100.00%"	173	173	257.49	44546.48
"2023-02-03"	"Fr"	"Welcome Residenzschloss Bamberg"	44	"23.91%"	184	44	107.77	4741.66
"2023-02-03"	"Fr"	"Welcome Kongresshotel Bamberg"	45	"26.32%"	171	45	85.43	3844.45
"2023-02-03"	"Fr"	"Welcome Hotel Marburg"	19	"12.67%"	150	19	132.87	2524.60
"2023-02-03"	"Fr"	"Welcome Hotel Paderborn"	6	"3.92%"	153	6	80.80	484.80
"2023-02-03"	"Fr"	"Welcome Hotel Bad Arolsen"	33	"27.73%"	119	33	110.62	3650.31
"2023-02-03"	"Fr"	"Welcome Hotel Meschede / Hennesee"	107	"92.24%"	116	107	101.10	10817.30
"2023-02-03"	"Fr"	"Welcome Hotel Wesel"	26	"25.24%"	103	26	103.18	2682.77
"2023-02-03"	"Fr"	"Welcome Hotel Dorf Munsterland"	22	"16.79%"	131	22	71.40	1570.80
"2023-02-03"	"Fr"	"Welcome Hotel Neckarsulm"	41	"25.31%"	162	41	96.70	3964.50
"2023-02-03"	"Fr"	"Welcome Parkhotel Euskirchen"	50	"54.35%"	92	50	106.61	5330.70
"2023-02-03"	"Fr"	"All"	656	"37.23%"	1762	656	142.43	93432.57
"2023-02-04"	"Sa"	"Welcome Hotel Darmstadt"	82	"39.42%"	208	82	113.87	9336.97
"2023-02-04"	"Sa"	"Best Western Plus Welcome Hotel Frankfurt"	171	"98.84%"	173	171	252.01	43093.48
"2023-02-04"	"Sa"	"Welcome Residenzschloss Bamberg"	34	"18.48%"	184	34	103.39	3515.33
"2023-02-04"	"Sa"	"Welcome Kongresshotel Bamberg"	34	"19.88%"	171	34	82.47	2803.87
"2023-02-04"	"Sa"	"Welcome Hotel Marburg"	34	"22.67%"	150	34	127.60	4338.40
"2023-02-04"	"Sa"	"Welcome Hotel Paderborn"	8	"5.23%"	153	8	89.90	719.19
"2023-02-04"	"Sa"	"Welcome Hotel Bad Arolsen"	37	"31.09%"	119	37	116.59	4313.97
"2023-02-04"	"Sa"	"Welcome Hotel Meschede / Hennesee"	49	"42.24%"	116	49	98.79	4840.62
"2023-02-04"	"Sa"	"Welcome Hotel Wesel"	29	"28.16%"	103	29	102.15	2962.23
"2023-02-04"	"Sa"	"Welcome Hotel Dorf Munsterland"	32	"24.43%"	131	32	83.23	2663.32
"2023-02-04"	"Sa"	"Welcome Hotel Neckarsulm"	55	"33.95%"	162	55	104.64	5755.06
"2023-02-04"	"Sa"	"Welcome Parkhotel Euskirchen"	66	"71.74%"	92	66	121.54	8021.39
"2023-02-04"	"Sa"	"All"	631	"35.81%"	1762	631	146.38	92363.83
"2023-02-05"	"Su"	"Welcome Hotel Darmstadt"	80	"38.46%"	208	80	106.20	8496.08
"2023-02-05"	"Su"	"Best Western Plus Welcome Hotel Frankfurt"	166	"95.95%"	173	166	251.55	41756.69
"2023-02-05"	"Su"	"Welcome Residenzschloss Bamberg"	17	"9.24%"	184	17	86.49	1470.30
"2023-02-05"	"Su"	"Welcome Kongresshotel Bamberg"	45	"26.32%"	171	45	96.09	4324.11
"2023-02-05"	"Su"	"Welcome Hotel Marburg"	16	"10.67%"	150	16	111.38	1782.10
"2023-02-05"	"Su"	"Welcome Hotel Paderborn"	15	"9.80%"	153	15	88.90	1333.53
"2023-02-05"	"Su"	"Welcome Hotel Bad Arolsen"	11	"9.24%"	119	11	85.49	940.35
"2023-02-05"	"Su"	"Welcome Hotel Meschede / Hennesee"	32	"27.59%"	116	32	81.50	2607.90
"2023-02-05"	"Su"	"Welcome Hotel Wesel"	25	"24.27%"	103	25	93.33	2333.16
"2023-02-05"	"Su"	"Welcome Hotel Dorf Munsterland"	10	"7.63%"	131	10	57.52	575.21
"2023-02-05"	"Su"	"Welcome Hotel Neckarsulm"	25	"15.43%"	162	25	110.95	2773.76
"2023-02-05"	"Su"	"Welcome Parkhotel Euskirchen"	31	"33.70%"	92	31	115.68	3586.11
"2023-02-05"	"Su"	"All"	473	"26.84%"	1762	473	152.18	71979.30
"2023-02-06"	"Mo"	"Welcome Hotel Darmstadt"	191	"91.83%"	208	191	113.10	21602.37
"2023-02-06"	"Mo"	"Best Western Plus Welcome Hotel Frankfurt"	168	"97.11%"	173	168	213.01	35785.21
"2023-02-06"	"Mo"	"Welcome Residenzschloss Bamberg"	28	"15.22%"	184	28	104.91	2937.55
"2023-02-06"	"Mo"	"Welcome Kongresshotel Bamberg"	107	"62.57%"	171	107	90.43	9676.09
"2023-02-06"	"Mo"	"Welcome Hotel Marburg"	50	"33.33%"	150	50	111.56	5578.03
"2023-02-06"	"Mo"	"Welcome Hotel Paderborn"	77	"50.33%"	153	77	87.27	6719.64
"2023-02-06"	"Mo"	"Welcome Hotel Bad Arolsen"	24	"20.17%"	119	24	85.46	2051.12
"2023-02-06"	"Mo"	"Welcome Hotel Meschede / Hennesee"	40	"34.48%"	116	40	89.49	3579.45
"2023-02-06"	"Mo"	"Welcome Hotel Wesel"	75	"72.82%"	103	75	102.76	7706.79
"2023-02-06"	"Mo"	"Welcome Hotel Dorf Munsterland"	55	"41.98%"	131	55	63.62	3498.91
"2023-02-06"	"Mo"	"Welcome Hotel Neckarsulm"	75	"46.30%"	162	75	121.26	9094.29
"2023-02-06"	"Mo"	"Welcome Parkhotel Euskirchen"	70	"76.09%"	92	70	105.75	7402.57
"2023-02-06"	"Mo"	"All"	960	"54.48%"	1762	960	120.45	115632.02
"2023-02-07"	"Tu"	"Welcome Hotel Darmstadt"	130	"62.50%"	208	130	117.38	15259.85
"2023-02-07"	"Tu"	"Best Western Plus Welcome Hotel Frankfurt"	125	"72.25%"	173	125	105.21	13151.73
"2023-02-07"	"Tu"	"Welcome Residenzschloss Bamberg"	39	"21.20%"	184	39	101.28	3949.96
"2023-02-07"	"Tu"	"Welcome Kongresshotel Bamberg"	129	"75.44%"	171	129	96.30	12422.57
"2023-02-07"	"Tu"	"Welcome Hotel Marburg"	55	"36.67%"	150	55	114.54	6299.90
"2023-02-07"	"Tu"	"Welcome Hotel Paderborn"	85	"55.56%"	153	85	88.64	7534.78
"2023-02-07"	"Tu"	"Welcome Hotel Bad Arolsen"	17	"14.29%"	119	17	86.04	1462.75
"2023-02-07"	"Tu"	"Welcome Hotel Meschede / Hennesee"	61	"52.59%"	116	61	83.35	5084.08
"2023-02-07"	"Tu"	"Welcome Hotel Wesel"	88	"85.44%"	103	88	102.54	9023.80
"2023-02-07"	"Tu"	"Welcome Hotel Dorf Munsterland"	59	"45.04%"	131	59	67.65	3991.35
"2023-02-07"	"Tu"	"Welcome Hotel Neckarsulm"	82	"50.62%"	162	82	120.75	9901.31
"2023-02-07"	"Tu"	"Welcome Parkhotel Euskirchen"	90	"97.83%"	92	90	110.00	9900.01
"2023-02-07"	"Tu"	"All"	960	"54.48%"	1762	960	102.06	97982.09
"2023-02-08"	"We"	"Welcome Hotel Darmstadt"	174	"83.65%"	208	174	117.07	20370.23
"2023-02-08"	"We"	"Best Western Plus Welcome Hotel Frankfurt"	71	"41.04%"	173	71	98.20	6972.17
"2023-02-08"	"We"	"Welcome Residenzschloss Bamberg"	38	"20.65%"	184	38	107.17	4072.30
"2023-02-08"	"We"	"Welcome Kongresshotel Bamberg"	150	"87.72%"	171	150	101.32	15197.70
"2023-02-08"	"We"	"Welcome Hotel Marburg"	93	"62.00%"	150	93	116.31	10816.86
"2023-02-08"	"We"	"Welcome Hotel Paderborn"	102	"66.67%"	153	102	96.25	9817.58
"2023-02-08"	"We"	"Welcome Hotel Bad Arolsen"	12	"10.08%"	119	12	76.81	921.67
"2023-02-08"	"We"	"Welcome Hotel Meschede / Hennesee"	114	"98.28%"	116	114	105.83	12064.78
"2023-02-08"	"We"	"Welcome Hotel Wesel"	69	"66.99%"	103	69	101.00	6968.72
"2023-02-08"	"We"	"Welcome Hotel Dorf Munsterland"	54	"41.22%"	131	54	64.49	3482.28
"2023-02-08"	"We"	"Welcome Hotel Neckarsulm"	86	"53.09%"	162	86	119.65	10290.26
"2023-02-08"	"We"	"Welcome Parkhotel Euskirchen"	88	"95.65%"	92	88	109.64	9648.76
"2023-02-08"	"We"	"All"	1051	"59.65%"	1762	1051	105.26	110623.31
"2023-02-09"	"Th"	"Welcome Hotel Darmstadt"	132	"63.46%"	208	132	124.80	16474.11
"2023-02-09"	"Th"	"Best Western Plus Welcome Hotel Frankfurt"	54	"31.21%"	173	54	90.42	4882.48
"2023-02-09"	"Th"	"Welcome Residenzschloss Bamberg"	26	"14.13%"	184	26	98.81	2569.01
"2023-02-09"	"Th"	"Welcome Kongresshotel Bamberg"	129	"75.44%"	171	129	93.47	12057.83
"2023-02-09"	"Th"	"Welcome Hotel Marburg"	33	"22.00%"	150	33	122.11	4029.73
"2023-02-09"	"Th"	"Welcome Hotel Paderborn"	55	"35.95%"	153	55	87.85	4831.98
"2023-02-09"	"Th"	"Welcome Hotel Bad Arolsen"	14	"11.76%"	119	14	92.52	1295.33
"2023-02-09"	"Th"	"Welcome Hotel Meschede / Hennesee"	108	"93.10%"	116	108	104.21	11254.58
"2023-02-09"	"Th"	"Welcome Hotel Wesel"	38	"36.89%"	103	38	101.90	3872.27
"2023-02-09"	"Th"	"Welcome Hotel Dorf Munsterland"	42	"32.06%"	131	42	64.03	2689.44
"2023-02-09"	"Th"	"Welcome Hotel Neckarsulm"	54	"33.33%"	162	54	123.02	6643.23
"2023-02-09"	"Th"	"Welcome Parkhotel Euskirchen"	35	"38.04%"	92	35	117.67	4118.37
"2023-02-09"	"Th"	"All"	720	"40.86%"	1762	720	103.78	74718.36
"2023-02-10"	"Fr"	"Welcome Hotel Darmstadt"	57	"27.40%"	208	57	104.23	5940.90
"2023-02-10"	"Fr"	"Best Western Plus Welcome Hotel Frankfurt"	15	"8.67%"	173	15	80.55	1208.27
"2023-02-10"	"Fr"	"Welcome Residenzschloss Bamberg"	39	"21.20%"	184	39	108.55	4233.46
"2023-02-10"	"Fr"	"Welcome Kongresshotel Bamberg"	61	"35.67%"	171	61	88.45	5395.23
"2023-02-10"	"Fr"	"Welcome Hotel Marburg"	27	"18.00%"	150	27	118.92	3210.75
"2023-02-10"	"Fr"	"Welcome Hotel Paderborn"	34	"22.22%"	153	34	88.24	3000.21
"2023-02-10"	"Fr"	"Welcome Hotel Bad Arolsen"	15	"12.61%"	119	15	117.61	1764.08
"2023-02-10"	"Fr"	"Welcome Hotel Meschede / Hennesee"	28	"24.14%"	116	28	127.46	3568.80
"2023-02-10"	"Fr"	"Welcome Hotel Wesel"	23	"22.33%"	103	23	111.40	2562.12
"2023-02-10"	"Fr"	"Welcome Hotel Dorf Munsterland"	29	"22.14%"	131	29	33.48	971.05
"2023-02-10"	"Fr"	"Welcome Hotel Neckarsulm"	13	"8.02%"	162	13	138.88	1805.41
"2023-02-10"	"Fr"	"Welcome Parkhotel Euskirchen"	29	"31.52%"	92	29	120.37	3490.80
"2023-02-10"	"Fr"	"All"	370	"21.00%"	1762	370	100.41	37151.08
"2023-02-11"	"Sa"	"Welcome Hotel Darmstadt"	108	"51.92%"	208	108	98.12	10597.00
"2023-02-11"	"Sa"	"Best Western Plus Welcome Hotel Frankfurt"	18	"10.40%"	173	18	76.63	1379.28
"2023-02-11"	"Sa"	"Welcome Residenzschloss Bamberg"	44	"23.91%"	184	44	108.03	4753.20
"2023-02-11"	"Sa"	"Welcome Kongresshotel Bamberg"	39	"22.81%"	171	39	84.43	3292.72
"2023-02-11"	"Sa"	"Welcome Hotel Marburg"	32	"21.33%"	150	32	125.02	4000.78
"2023-02-11"	"Sa"	"Welcome Hotel Paderborn"	21	"13.73%"	153	21	93.23	1957.82
"2023-02-11"	"Sa"	"Welcome Hotel Bad Arolsen"	8	"6.72%"	119	8	127.11	1016.85
"2023-02-11"	"Sa"	"Welcome Hotel Meschede / Hennesee"	26	"22.41%"	116	26	76.63	1992.49
"2023-02-11"	"Sa"	"Welcome Hotel Wesel"	22	"21.36%"	103	22	117.67	2588.65
"2023-02-11"	"Sa"	"Welcome Hotel Dorf Munsterland"	26	"19.85%"	131	26	85.71	2228.35
"2023-02-11"	"Sa"	"Welcome Hotel Neckarsulm"	15	"9.26%"	162	15	102.46	1536.93
"2023-02-11"	"Sa"	"Welcome Parkhotel Euskirchen"	60	"65.22%"	92	60	137.95	8276.73
"2023-02-11"	"Sa"	"All"	419	"23.78%"	1762	419	104.11	43620.80
"2023-02-12"	"Su"	"Welcome Hotel Darmstadt"	62	"29.81%"	208	62	103.42	6411.83
"2023-02-12"	"Su"	"Best Western Plus Welcome Hotel Frankfurt"	15	"8.67%"	173	15	75.75	1136.21
"2023-02-12"	"Su"	"Welcome Residenzschloss Bamberg"	32	"17.39%"	184	32	83.12	2659.83
"2023-02-12"	"Su"	"Welcome Kongresshotel Bamberg"	38	"22.22%"	171	38	90.75	3448.57
"2023-02-12"	"Su"	"Welcome Hotel Marburg"	17	"11.33%"	150	17	120.93	2055.75
"2023-02-12"	"Su"	"Welcome Hotel Paderborn"	28	"18.30%"	153	28	97.38	2726.53
"2023-02-12"	"Su"	"Welcome Hotel Bad Arolsen"	7	"5.88%"	119	7	90.23	631.58
"2023-02-12"	"Su"	"Welcome Hotel Meschede / Hennesee"	28	"24.14%"	116	28	80.66	2258.37
"2023-02-12"	"Su"	"Welcome Hotel Wesel"	22	"21.36%"	103	22	99.85	2196.62
"2023-02-12"	"Su"	"Welcome Hotel Dorf Munsterland"	10	"7.63%"	131	10	91.90	919.00
"2023-02-12"	"Su"	"Welcome Hotel Neckarsulm"	24	"14.81%"	162	24	106.15	2547.63
"2023-02-12"	"Su"	"Welcome Parkhotel Euskirchen"	15	"16.30%"	92	15	116.76	1751.33
"2023-02-12"	"Su"	"All"	298	"16.91%"	1762	298	96.45	28743.25
