"Date"	"Date"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"	"Room Revenue OTB"
"Day"	"DOW"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"	"Room Revenue OTB"
"2023-12-09"	"Sa"	"Best Western Plus Welcome Hotel Frankfurt"	145	"83.82%"	173	145	66.90	9699.88
"2023-12-09"	"Sa"	"Welcome Residenzschloss Bamberg"	177	"96.20%"	184	177	135.30	23947.30
"2023-12-09"	"Sa"	"Welcome Kongresshotel Bamberg"	163	"95.32%"	171	163	113.83	18554.00
"2023-12-09"	"Sa"	"Welcome Hotel Marburg"	130	"86.67%"	150	130	133.36	17336.98
"2023-12-09"	"Sa"	"Welcome Hotel Paderborn"	138	"90.20%"	153	138	95.83	13225.07
"2023-12-09"	"Sa"	"Welcome Hotel Bad Arolsen"	73	"61.34%"	119	73	107.42	7841.49
"2023-12-09"	"Sa"	"Welcome Hotel Meschede / Hennesee"	28	"24.14%"	116	28	83.10	2326.88
"2023-12-09"	"Sa"	"Welcome Hotel Wesel"	59	"57.28%"	103	59	108.01	6372.56
"2023-12-09"	"Sa"	"Welcome Hotel Dorf Munsterland"	80	"61.07%"	131	80	97.35	7787.72
"2023-12-09"	"Sa"	"Welcome Hotel Neckarsulm"	45	"27.78%"	162	45	83.93	3777.06
"2023-12-09"	"Sa"	"Welcome Parkhotel Euskirchen"	78	"84.78%"	92	78	134.70	10506.30
"2023-12-09"	"Sa"	"All"	1244	"70.60%"	1762	1244	106.83	132896.09
"2023-12-10"	"Su"	"Welcome Hotel Darmstadt"	68	"32.69%"	208	68	105.87	7199.48
"2023-12-10"	"Su"	"Best Western Plus Welcome Hotel Frankfurt"	46	"26.59%"	173	46	62.16	2859.33
"2023-12-10"	"Su"	"Welcome Residenzschloss Bamberg"	42	"22.83%"	184	42	105.37	4425.55
"2023-12-10"	"Su"	"Welcome Kongresshotel Bamberg"	26	"15.20%"	171	26	92.39	2402.07
"2023-12-10"	"Su"	"Welcome Hotel Marburg"	42	"28.00%"	150	42	107.74	4524.95
