"Date"	"Date"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"
"Day"	"DOW"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"
"2023-05-26"	"Fr"	"Welcome Hotel Wesel"	71	"68.93%"	103	71	116.42
"2023-05-26"	"Fr"	"Welcome Hotel Dorf Munsterland"	58	"44.27%"	131	58	137.74
"2023-05-26"	"Fr"	"Welcome Hotel Neckarsulm"	17	"10.49%"	162	17	92.93
"2023-05-26"	"Fr"	"Welcome Parkhotel Euskirchen"	41	"44.57%"	92	41	139.39
"2023-05-26"	"Fr"	"All"	947	"53.75%"	1762	947	112.00
"2023-05-27"	"Sa"	"Welcome Hotel Darmstadt"	167	"80.29%"	208	167	98.08
"2023-05-27"	"Sa"	"Best Western Plus Welcome Hotel Frankfurt"	121	"69.94%"	173	121	62.33
"2023-05-27"	"Sa"	"Welcome Residenzschloss Bamberg"	184	"100.00%"	184	184	160.27
"2023-05-27"	"Sa"	"Welcome Kongresshotel Bamberg"	170	"99.42%"	171	170	132.96
"2023-05-27"	"Sa"	"Welcome Hotel Marburg"	147	"98.00%"	150	147	125.45
"2023-05-27"	"Sa"	"Welcome Hotel Paderborn"	146	"95.42%"	153	146	100.01
"2023-05-27"	"Sa"	"Welcome Hotel Bad Arolsen"	113	"94.96%"	119	113	114.13
"2023-05-27"	"Sa"	"Welcome Hotel Meschede / Hennesee"	112	"96.55%"	116	112	117.18
"2023-05-27"	"Sa"	"Welcome Hotel Wesel"	92	"89.32%"	103	92	130.69
"2023-05-27"	"Sa"	"Welcome Hotel Dorf Munsterland"	128	"97.71%"	131	128	164.61
"2023-05-27"	"Sa"	"Welcome Hotel Neckarsulm"	34	"20.99%"	162	34	89.18
"2023-05-27"	"Sa"	"Welcome Parkhotel Euskirchen"	88	"95.65%"	92	88	142.35
"2023-05-27"	"Sa"	"All"	1502	"85.24%"	1762	1502	122.32
"2023-05-28"	"Su"	"Welcome Hotel Darmstadt"	149	"71.63%"	208	149	87.80
"2023-05-28"	"Su"	"Best Western Plus Welcome Hotel Frankfurt"	76	"43.93%"	173	76	62.63
"2023-05-28"	"Su"	"Welcome Residenzschloss Bamberg"	152	"82.61%"	184	152	148.54
"2023-05-28"	"Su"	"Welcome Kongresshotel Bamberg"	135	"78.95%"	171	135	120.38
"2023-05-28"	"Su"	"Welcome Hotel Marburg"	108	"72.00%"	150	108	110.81
"2023-05-28"	"Su"	"Welcome Hotel Paderborn"	77	"50.33%"	153	77	89.49
"2023-05-28"	"Su"	"Welcome Hotel Bad Arolsen"	107	"89.92%"	119	107	111.98
"2023-05-28"	"Su"	"Welcome Hotel Meschede / Hennesee"	83	"71.55%"	116	83	109.69
"2023-05-28"	"Su"	"Welcome Hotel Wesel"	99	"96.12%"	103	99	125.92
"2023-05-28"	"Su"	"Welcome Hotel Dorf Munsterland"	18	"13.74%"	131	18	93.53
"2023-05-28"	"Su"	"Welcome Hotel Neckarsulm"	14	"8.64%"	162	14	89.03
"2023-05-28"	"Su"	"Welcome Parkhotel Euskirchen"	58	"63.04%"	92	58	140.26
"2023-05-28"	"Su"	"All"	1076	"61.07%"	1762	1076	111.66
"2023-05-29"	"Mo"	"Welcome Hotel Darmstadt"	85	"40.87%"	208	85	107.48
"2023-05-29"	"Mo"	"Best Western Plus Welcome Hotel Frankfurt"	38	"21.97%"	173	38	63.16
"2023-05-29"	"Mo"	"Welcome Residenzschloss Bamberg"	64	"34.78%"	184	64	113.88
"2023-05-29"	"Mo"	"Welcome Kongresshotel Bamberg"	51	"29.82%"	171	51	94.87
"2023-05-29"	"Mo"	"Welcome Hotel Marburg"	59	"39.33%"	150	59	105.58
"2023-05-29"	"Mo"	"Welcome Hotel Paderborn"	33	"21.57%"	153	33	89.36
"2023-05-29"	"Mo"	"Welcome Hotel Bad Arolsen"	25	"21.01%"	119	25	98.08
"2023-05-29"	"Mo"	"Welcome Hotel Meschede / Hennesee"	43	"37.07%"	116	43	110.33
"2023-05-29"	"Mo"	"Welcome Hotel Wesel"	60	"58.25%"	103	60	104.48
"2023-05-29"	"Mo"	"Welcome Hotel Dorf Munsterland"	6	"4.58%"	131	6	65.98
