"Date"	"Date"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"
"Day"	"DOW"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"
"2023-02-03"	"Fr"	"Welcome Residenzschloss Bamberg"	44	"23.91%"	184	44	107.77
"2023-02-03"	"Fr"	"Welcome Kongresshotel Bamberg"	45	"26.32%"	171	45	85.43
"2023-02-03"	"Fr"	"Welcome Hotel Marburg"	19	"12.67%"	150	19	132.87
"2023-02-03"	"Fr"	"Welcome Hotel Paderborn"	6	"3.92%"	153	6	80.80
"2023-02-03"	"Fr"	"Welcome Hotel Bad Arolsen"	33	"27.73%"	119	33	110.62
"2023-02-03"	"Fr"	"Welcome Hotel Meschede / Hennesee"	107	"92.24%"	116	107	101.10
"2023-02-03"	"Fr"	"Welcome Hotel Wesel"	26	"25.24%"	103	26	103.18
"2023-02-03"	"Fr"	"Welcome Hotel Dorf Munsterland"	22	"16.79%"	131	22	71.40
"2023-02-03"	"Fr"	"Welcome Hotel Neckarsulm"	41	"25.31%"	162	41	96.70
"2023-02-03"	"Fr"	"Welcome Parkhotel Euskirchen"	50	"54.35%"	92	50	106.61
"2023-02-03"	"Fr"	"All"	656	"37.23%"	1762	656	142.43
"2023-02-04"	"Sa"	"Welcome Hotel Darmstadt"	82	"39.42%"	208	82	113.87
"2023-02-04"	"Sa"	"Best Western Plus Welcome Hotel Frankfurt"	171	"98.84%"	173	171	252.01
"2023-02-04"	"Sa"	"Welcome Residenzschloss Bamberg"	34	"18.48%"	184	34	103.39
"2023-02-04"	"Sa"	"Welcome Kongresshotel Bamberg"	34	"19.88%"	171	34	82.47
"2023-02-04"	"Sa"	"Welcome Hotel Marburg"	34	"22.67%"	150	34	127.60
"2023-02-04"	"Sa"	"Welcome Hotel Paderborn"	8	"5.23%"	153	8	89.90
"2023-02-04"	"Sa"	"Welcome Hotel Bad Arolsen"	37	"31.09%"	119	37	116.59
"2023-02-04"	"Sa"	"Welcome Hotel Meschede / Hennesee"	49	"42.24%"	116	49	98.79
"2023-02-04"	"Sa"	"Welcome Hotel Wesel"	29	"28.16%"	103	29	102.15
"2023-02-04"	"Sa"	"Welcome Hotel Dorf Munsterland"	32	"24.43%"	131	32	83.23
"2023-02-04"	"Sa"	"Welcome Hotel Neckarsulm"	55	"33.95%"	162	55	104.64
"2023-02-04"	"Sa"	"Welcome Parkhotel Euskirchen"	66	"71.74%"	92	66	121.54
"2023-02-04"	"Sa"	"All"	631	"35.81%"	1762	631	146.38
"2023-02-05"	"Su"	"Welcome Hotel Darmstadt"	80	"38.46%"	208	80	106.20
"2023-02-05"	"Su"	"Best Western Plus Welcome Hotel Frankfurt"	166	"95.95%"	173	166	251.55
"2023-02-05"	"Su"	"Welcome Residenzschloss Bamberg"	17	"9.24%"	184	17	86.49
"2023-02-05"	"Su"	"Welcome Kongresshotel Bamberg"	45	"26.32%"	171	45	96.09
"2023-02-05"	"Su"	"Welcome Hotel Marburg"	16	"10.67%"	150	16	111.38
"2023-02-05"	"Su"	"Welcome Hotel Paderborn"	15	"9.80%"	153	15	88.90
"2023-02-05"	"Su"	"Welcome Hotel Bad Arolsen"	11	"9.24%"	119	11	85.49
"2023-02-05"	"Su"	"Welcome Hotel Meschede / Hennesee"	32	"27.59%"	116	32	81.50
"2023-02-05"	"Su"	"Welcome Hotel Wesel"	25	"24.27%"	103	25	93.33
"2023-02-05"	"Su"	"Welcome Hotel Dorf Munsterland"	10	"7.63%"	131	10	57.52
"2023-02-05"	"Su"	"Welcome Hotel Neckarsulm"	25	"15.43%"	162	25	110.95
"2023-02-05"	"Su"	"Welcome Parkhotel Euskirchen"	31	"33.70%"	92	31	115.68
"2023-02-05"	"Su"	"All"	473	"26.84%"	1762	473	152.18
"2023-02-06"	"Mo"	"Welcome Hotel Darmstadt"	191	"91.83%"	208	191	113.10
"2023-02-06"	"Mo"	"Best Western Plus Welcome Hotel Frankfurt"	168	"97.11%"	173	168	213.01
"2023-02-06"	"Mo"	"Welcome Residenzschloss Bamberg"	28	"15.22%"	184	28	104.91
"2023-02-06"	"Mo"	"Welcome Kongresshotel Bamberg"	107	"62.57%"	171	107	90.43
"2023-02-06"	"Mo"	"Welcome Hotel Marburg"	50	"33.33%"	150	50	111.56
"2023-02-06"	"Mo"	"Welcome Hotel Paderborn"	77	"50.33%"	153	77	87.27
"2023-02-06"	"Mo"	"Welcome Hotel Bad Arolsen"	24	"20.17%"	119	24	85.46
"2023-02-06"	"Mo"	"Welcome Hotel Meschede / Hennesee"	40	"34.48%"	116	40	89.49
"2023-02-06"	"Mo"	"Welcome Hotel Wesel"	75	"72.82%"	103	75	102.76
"2023-02-06"	"Mo"	"Welcome Hotel Dorf Munsterland"	55	"41.98%"	131	55	63.62
"2023-02-06"	"Mo"	"Welcome Hotel Neckarsulm"	75	"46.30%"	162	75	121.26
"2023-02-06"	"Mo"	"Welcome Parkhotel Euskirchen"	70	"76.09%"	92	70	105.75
"2023-02-06"	"Mo"	"All"	960	"54.48%"	1762	960	120.45
"2023-02-07"	"Tu"	"Welcome Hotel Darmstadt"	130	"62.50%"	208	130	117.38
"2023-02-07"	"Tu"	"Best Western Plus Welcome Hotel Frankfurt"	125	"72.25%"	173	125	105.21
"2023-02-07"	"Tu"	"Welcome Residenzschloss Bamberg"	39	"21.20%"	184	39	101.28
"2023-02-07"	"Tu"	"Welcome Kongresshotel Bamberg"	129	"75.44%"	171	129	96.30
"2023-02-07"	"Tu"	"Welcome Hotel Marburg"	55	"36.67%"	150	55	114.54
"2023-02-07"	"Tu"	"Welcome Hotel Paderborn"	85	"55.56%"	153	85	88.64
"2023-02-07"	"Tu"	"Welcome Hotel Bad Arolsen"	17	"14.29%"	119	17	86.04
"2023-02-07"	"Tu"	"Welcome Hotel Meschede / Hennesee"	61	"52.59%"	116	61	83.35
"2023-02-07"	"Tu"	"Welcome Hotel Wesel"	88	"85.44%"	103	88	102.54
"2023-02-07"	"Tu"	"Welcome Hotel Dorf Munsterland"	59	"45.04%"	131	59	67.65
"2023-02-07"	"Tu"	"Welcome Hotel Neckarsulm"	82	"50.62%"	162	82	120.75
"2023-02-07"	"Tu"	"Welcome Parkhotel Euskirchen"	90	"97.83%"	92	90	110.00
"2023-02-07"	"Tu"	"All"	960	"54.48%"	1762	960	102.06
"2023-02-08"	"We"	"Welcome Hotel Darmstadt"	174	"83.65%"	208	174	117.07
"2023-02-08"	"We"	"Best Western Plus Welcome Hotel Frankfurt"	71	"41.04%"	173	71	98.20
"2023-02-08"	"We"	"Welcome Residenzschloss Bamberg"	38	"20.65%"	184	38	107.17
"2023-02-08"	"We"	"Welcome Kongresshotel Bamberg"	150	"87.72%"	171	150	101.32
"2023-02-08"	"We"	"Welcome Hotel Marburg"	93	"62.00%"	150	93	116.31
"2023-02-08"	"We"	"Welcome Hotel Paderborn"	102	"66.67%"	153	102	96.25
"2023-02-08"	"We"	"Welcome Hotel Bad Arolsen"	12	"10.08%"	119	12	76.81
"2023-02-08"	"We"	"Welcome Hotel Meschede / Hennesee"	114	"98.28%"	116	114	105.83
"2023-02-08"	"We"	"Welcome Hotel Wesel"	69	"66.99%"	103	69	101.00
"2023-02-08"	"We"	"Welcome Hotel Dorf Munsterland"	54	"41.22%"	131	54	64.49
"2023-02-08"	"We"	"Welcome Hotel Neckarsulm"	86	"53.09%"	162	86	119.65
"2023-02-08"	"We"	"Welcome Parkhotel Euskirchen"	88	"95.65%"	92	88	109.64
"2023-02-08"	"We"	"All"	1051	"59.65%"	1762	1051	105.26
"2023-02-09"	"Th"	"Welcome Hotel Darmstadt"	132	"63.46%"	208	132	124.80
"2023-02-09"	"Th"	"Best Western Plus Welcome Hotel Frankfurt"	54	"31.21%"	173	54	90.42
"2023-02-09"	"Th"	"Welcome Residenzschloss Bamberg"	26	"14.13%"	184	26	98.81
"2023-02-09"	"Th"	"Welcome Kongresshotel Bamberg"	129	"75.44%"	171	129	93.47
"2023-02-09"	"Th"	"Welcome Hotel Marburg"	33	"22.00%"	150	33	122.11
"2023-02-09"	"Th"	"Welcome Hotel Paderborn"	55	"35.95%"	153	55	87.85
"2023-02-09"	"Th"	"Welcome Hotel Bad Arolsen"	14	"11.76%"	119	14	92.52
"2023-02-09"	"Th"	"Welcome Hotel Meschede / Hennesee"	108	"93.10%"	116	108	104.21
"2023-02-09"	"Th"	"Welcome Hotel Wesel"	38	"36.89%"	103	38	101.90
"2023-02-09"	"Th"	"Welcome Hotel Dorf Munsterland"	42	"32.06%"	131	42	64.03
"2023-02-09"	"Th"	"Welcome Hotel Neckarsulm"	54	"33.33%"	162	54	123.02
"2023-02-09"	"Th"	"Welcome Parkhotel Euskirchen"	35	"38.04%"	92	35	117.67
"2023-02-09"	"Th"	"All"	720	"40.86%"	1762	720	103.78
"2023-02-10"	"Fr"	"Welcome Hotel Darmstadt"	57	"27.40%"	208	57	104.23
"2023-02-10"	"Fr"	"Best Western Plus Welcome Hotel Frankfurt"	15	"8.67%"	173	15	80.55
"2023-02-10"	"Fr"	"Welcome Residenzschloss Bamberg"	39	"21.20%"	184	39	108.55
"2023-02-10"	"Fr"	"Welcome Kongresshotel Bamberg"	61	"35.67%"	171	61	88.45
"2023-02-10"	"Fr"	"Welcome Hotel Marburg"	27	"18.00%"	150	27	118.92
"2023-02-10"	"Fr"	"Welcome Hotel Paderborn"	34	"22.22%"	153	34	88.24
"2023-02-10"	"Fr"	"Welcome Hotel Bad Arolsen"	15	"12.61%"	119	15	117.61
"2023-02-10"	"Fr"	"Welcome Hotel Meschede / Hennesee"	28	"24.14%"	116	28	127.46
"2023-02-10"	"Fr"	"Welcome Hotel Wesel"	23	"22.33%"	103	23	111.40
"2023-02-10"	"Fr"	"Welcome Hotel Dorf Munsterland"	29	"22.14%"	131	29	33.48
"2023-02-10"	"Fr"	"Welcome Hotel Neckarsulm"	13	"8.02%"	162	13	138.88
"2023-02-10"	"Fr"	"Welcome Parkhotel Euskirchen"	29	"31.52%"	92	29	120.37
"2023-02-10"	"Fr"	"All"	370	"21.00%"	1762	370	100.41
"2023-02-11"	"Sa"	"Welcome Hotel Darmstadt"	108	"51.92%"	208	108	98.12
"2023-02-11"	"Sa"	"Best Western Plus Welcome Hotel Frankfurt"	18	"10.40%"	173	18	76.63
"2023-02-11"	"Sa"	"Welcome Residenzschloss Bamberg"	44	"23.91%"	184	44	108.03
"2023-02-11"	"Sa"	"Welcome Kongresshotel Bamberg"	39	"22.81%"	171	39	84.43
"2023-02-11"	"Sa"	"Welcome Hotel Marburg"	32	"21.33%"	150	32	125.02
"2023-02-11"	"Sa"	"Welcome Hotel Paderborn"	21	"13.73%"	153	21	93.23
"2023-02-11"	"Sa"	"Welcome Hotel Bad Arolsen"	8	"6.72%"	119	8	127.11
"2023-02-11"	"Sa"	"Welcome Hotel Meschede / Hennesee"	26	"22.41%"	116	26	76.63
"2023-02-11"	"Sa"	"Welcome Hotel Wesel"	22	"21.36%"	103	22	117.67
"2023-02-11"	"Sa"	"Welcome Hotel Dorf Munsterland"	26	"19.85%"	131	26	85.71
"2023-02-11"	"Sa"	"Welcome Hotel Neckarsulm"	15	"9.26%"	162	15	102.46
"2023-02-11"	"Sa"	"Welcome Parkhotel Euskirchen"	60	"65.22%"	92	60	137.95
"2023-02-11"	"Sa"	"All"	419	"23.78%"	1762	419	104.11
"2023-02-12"	"Su"	"Welcome Hotel Darmstadt"	62	"29.81%"	208	62	103.42
"2023-02-12"	"Su"	"Best Western Plus Welcome Hotel Frankfurt"	15	"8.67%"	173	15	75.75
"2023-02-12"	"Su"	"Welcome Residenzschloss Bamberg"	32	"17.39%"	184	32	83.12
"2023-02-12"	"Su"	"Welcome Kongresshotel Bamberg"	38	"22.22%"	171	38	90.75
"2023-02-12"	"Su"	"Welcome Hotel Marburg"	17	"11.33%"	150	17	120.93
"2023-02-12"	"Su"	"Welcome Hotel Paderborn"	28	"18.30%"	153	28	97.38
"2023-02-12"	"Su"	"Welcome Hotel Bad Arolsen"	7	"5.88%"	119	7	90.23
"2023-02-12"	"Su"	"Welcome Hotel Meschede / Hennesee"	28	"24.14%"	116	28	80.66
"2023-02-12"	"Su"	"Welcome Hotel Wesel"	22	"21.36%"	103	22	99.85
"2023-02-12"	"Su"	"Welcome Hotel Dorf Munsterland"	10	"7.63%"	131	10	91.90
"2023-02-12"	"Su"	"Welcome Hotel Neckarsulm"	24	"14.81%"	162	24	106.15
"2023-02-12"	"Su"	"Welcome Parkhotel Euskirchen"	15	"16.30%"	92	15	116.76
"2023-02-12"	"Su"	"All"	298	"16.91%"	1762	298	96.45
"2023-02-13"	"Mo"	"Welcome Hotel Darmstadt"	149	"71.63%"	208	149	118.84
"2023-02-13"	"Mo"	"Best Western Plus Welcome Hotel Frankfurt"	51	"29.48%"	173	51	86.75
"2023-02-13"	"Mo"	"Welcome Residenzschloss Bamberg"	81	"44.02%"	184	81	100.33
"2023-02-13"	"Mo"	"Welcome Kongresshotel Bamberg"	74	"43.27%"	171	74	107.31
"2023-02-13"	"Mo"	"Welcome Hotel Marburg"	90	"60.00%"	150	90	121.92
"2023-02-13"	"Mo"	"Welcome Hotel Paderborn"	96	"62.75%"	153	96	87.54
"2023-02-13"	"Mo"	"Welcome Hotel Bad Arolsen"	29	"24.37%"	119	29	99.31
"2023-02-13"	"Mo"	"Welcome Hotel Meschede / Hennesee"	41	"35.34%"	116	41	86.65
"2023-02-13"	"Mo"	"Welcome Hotel Wesel"	67	"65.05%"	103	67	103.35
"2023-02-13"	"Mo"	"Welcome Hotel Dorf Munsterland"	47	"35.88%"	131	47	66.71
"2023-02-13"	"Mo"	"Welcome Hotel Neckarsulm"	74	"45.68%"	162	74	122.13
"2023-02-13"	"Mo"	"Welcome Parkhotel Euskirchen"	84	"91.30%"	92	84	108.60
"2023-02-13"	"Mo"	"All"	883	"50.11%"	1762	883	104.45
"2023-02-14"	"Tu"	"Welcome Hotel Darmstadt"	182	"87.50%"	208	182	115.67
"2023-02-14"	"Tu"	"Best Western Plus Welcome Hotel Frankfurt"	106	"61.27%"	173	106	88.36
"2023-02-14"	"Tu"	"Welcome Residenzschloss Bamberg"	106	"57.61%"	184	106	102.80
"2023-02-14"	"Tu"	"Welcome Kongresshotel Bamberg"	61	"35.67%"	171	61	89.15
"2023-02-14"	"Tu"	"Welcome Hotel Marburg"	94	"62.67%"	150	94	120.90
"2023-02-14"	"Tu"	"Welcome Hotel Paderborn"	105	"68.63%"	153	105	90.87
"2023-02-14"	"Tu"	"Welcome Hotel Bad Arolsen"	58	"48.74%"	119	58	89.77
"2023-02-14"	"Tu"	"Welcome Hotel Meschede / Hennesee"	54	"46.55%"	116	54	84.84
"2023-02-14"	"Tu"	"Welcome Hotel Wesel"	40	"38.83%"	103	40	105.66
"2023-02-14"	"Tu"	"Welcome Hotel Dorf Munsterland"	46	"35.11%"	131	46	64.37
"2023-02-14"	"Tu"	"Welcome Hotel Neckarsulm"	62	"38.27%"	162	62	121.79
"2023-02-14"	"Tu"	"Welcome Parkhotel Euskirchen"	76	"82.61%"	92	76	108.35
"2023-02-14"	"Tu"	"All"	990	"56.19%"	1762	990	101.43
"2023-02-15"	"We"	"Welcome Hotel Darmstadt"	158	"75.96%"	208	158	116.87
"2023-02-15"	"We"	"Best Western Plus Welcome Hotel Frankfurt"	75	"43.35%"	173	75	92.66
"2023-02-15"	"We"	"Welcome Residenzschloss Bamberg"	110	"59.78%"	184	110	103.13
"2023-02-15"	"We"	"Welcome Kongresshotel Bamberg"	98	"57.31%"	171	98	92.90
"2023-02-15"	"We"	"Welcome Hotel Marburg"	81	"54.00%"	150	81	123.42
"2023-02-15"	"We"	"Welcome Hotel Paderborn"	84	"54.90%"	153	84	90.62
"2023-02-15"	"We"	"Welcome Hotel Bad Arolsen"	78	"65.55%"	119	78	92.49
"2023-02-15"	"We"	"Welcome Hotel Meschede / Hennesee"	57	"49.14%"	116	57	84.35
"2023-02-15"	"We"	"Welcome Hotel Wesel"	43	"41.75%"	103	43	102.78
"2023-02-15"	"We"	"Welcome Hotel Dorf Munsterland"	50	"38.17%"	131	50	71.66
"2023-02-15"	"We"	"Welcome Hotel Neckarsulm"	64	"39.51%"	162	64	123.77
"2023-02-15"	"We"	"Welcome Parkhotel Euskirchen"	63	"68.48%"	92	63	98.94
"2023-02-15"	"We"	"All"	961	"54.54%"	1762	961	101.62
"2023-02-16"	"Th"	"Welcome Hotel Darmstadt"	77	"37.02%"	208	77	130.88
"2023-02-16"	"Th"	"Best Western Plus Welcome Hotel Frankfurt"	34	"19.65%"	173	34	81.07
"2023-02-16"	"Th"	"Welcome Residenzschloss Bamberg"	83	"45.11%"	184	83	99.95
"2023-02-16"	"Th"	"Welcome Kongresshotel Bamberg"	62	"36.26%"	171	62	91.26
"2023-02-16"	"Th"	"Welcome Hotel Marburg"	117	"78.00%"	150	117	112.72
"2023-02-16"	"Th"	"Welcome Hotel Paderborn"	63	"41.18%"	153	63	93.33
"2023-02-16"	"Th"	"Welcome Hotel Bad Arolsen"	23	"19.33%"	119	23	96.97
"2023-02-16"	"Th"	"Welcome Hotel Meschede / Hennesee"	40	"34.48%"	116	40	83.46
"2023-02-16"	"Th"	"Welcome Hotel Wesel"	31	"30.10%"	103	31	102.53
"2023-02-16"	"Th"	"Welcome Hotel Dorf Munsterland"	122	"93.13%"	131	122	152.52
"2023-02-16"	"Th"	"Welcome Hotel Neckarsulm"	24	"14.81%"	162	24	123.43
"2023-02-16"	"Th"	"Welcome Parkhotel Euskirchen"	53	"57.61%"	92	53	109.91
"2023-02-16"	"Th"	"All"	729	"41.37%"	1762	729	112.48
"2023-02-17"	"Fr"	"Welcome Hotel Darmstadt"	75	"36.06%"	208	75	107.27
"2023-02-17"	"Fr"	"Best Western Plus Welcome Hotel Frankfurt"	19	"10.98%"	173	19	75.31
"2023-02-17"	"Fr"	"Welcome Residenzschloss Bamberg"	34	"18.48%"	184	34	106.34
"2023-02-17"	"Fr"	"Welcome Kongresshotel Bamberg"	58	"33.92%"	171	58	97.32
"2023-02-17"	"Fr"	"Welcome Hotel Marburg"	111	"74.00%"	150	111	118.09
"2023-02-17"	"Fr"	"Welcome Hotel Paderborn"	27	"17.65%"	153	27	98.48
"2023-02-17"	"Fr"	"Welcome Hotel Bad Arolsen"	24	"20.17%"	119	24	108.30
"2023-02-17"	"Fr"	"Welcome Hotel Meschede / Hennesee"	38	"32.76%"	116	38	85.49
"2023-02-17"	"Fr"	"Welcome Hotel Wesel"	23	"22.33%"	103	23	107.87
"2023-02-17"	"Fr"	"Welcome Hotel Dorf Munsterland"	6	"4.58%"	131	6	81.60
"2023-02-17"	"Fr"	"Welcome Hotel Neckarsulm"	21	"12.96%"	162	21	108.85
